"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2025","5,238.52","5,335.13","5,351.00","5,115.71","","-4.00%"
"04/09/2025","5,456.90","4,965.28","5,481.34","4,948.43","","9.52%"
"04/08/2025","4,982.77","5,193.57","5,267.47","4,910.42","","-1.57%"
"04/07/2025","5,062.25","4,953.79","5,246.57","4,835.04","","-0.23%"
"04/04/2025","5,074.08","5,292.14","5,292.14","5,069.90","","-5.97%"
"04/03/2025","5,396.52","5,492.74","5,499.53","5,390.83","","-4.84%"
"04/02/2025","5,670.97","5,580.76","5,695.31","5,571.48","","0.67%"
"04/01/2025","5,633.07","5,597.53","5,650.57","5,558.52","","0.38%"
"03/31/2025","5,611.85","5,527.91","5,627.56","5,488.73","","0.55%"
"03/28/2025","5,580.94","5,679.20","5,685.89","5,572.42","","-1.97%"
"03/27/2025","5,693.31","5,695.64","5,732.28","5,670.94","","-0.33%"
"03/26/2025","5,712.20","5,771.66","5,783.62","5,694.41","","-1.12%"
"03/25/2025","5,776.65","5,775.96","5,786.95","5,760.42","","0.16%"
"03/24/2025","5,767.57","5,718.08","5,775.14","5,718.08","","1.76%"
"03/21/2025","5,667.56","5,630.73","5,670.84","5,603.10","","0.08%"
"03/20/2025","5,662.89","5,646.92","5,711.15","5,632.33","","-0.22%"
"03/19/2025","5,675.29","5,632.37","5,715.33","5,622.20","","1.08%"
"03/18/2025","5,614.66","5,654.53","5,654.53","5,597.76","","-1.07%"
"03/17/2025","5,675.12","5,635.60","5,703.52","5,631.12","","0.64%"
"03/14/2025","5,638.94","5,563.85","5,645.27","5,563.85","","2.13%"
"03/13/2025","5,521.52","5,594.45","5,597.78","5,504.65","","-1.39%"
"03/12/2025","5,599.30","5,624.84","5,642.19","5,546.09","","0.49%"
"03/11/2025","5,572.07","5,603.65","5,636.30","5,528.41","","-0.76%"
"03/10/2025","5,614.56","5,705.37","5,705.37","5,564.02","","-2.70%"